category	rank	token	total_count	avg_count_per_episode	episode_presence_frac	share_within_category
edge_token	2	CNOT(5->4)	1245	0.186713	0.174565	0.070442
edge_token	3	CNOT(2->5)	681	0.102130	0.084283	0.038531
edge_token	4	CNOT(3->1)	602	0.090282	0.077984	0.034061
edge_token	5	CNOT(5->3)	591	0.088632	0.077834	0.033439
edge_token	6	CNOT(5->1)	576	0.086383	0.075735	0.032590
edge_token	7	CNOT(4->2)	564	0.084583	0.077834	0.031911
edge_token	8	CNOT(2->4)	557	0.083533	0.078734	0.031515
edge_token	9	CNOT(4->1)	555	0.083233	0.074385	0.031402
edge_token	10	CNOT(2->3)	555	0.083233	0.074385	0.031402
edge_token	11	CNOT(0->4)	554	0.083083	0.077235	0.031345
edge_token	12	CNOT(3->5)	549	0.082334	0.077235	0.031063
edge_token	13	CNOT(4->3)	549	0.082334	0.075585	0.031063
edge_token	14	CNOT(5->0)	536	0.080384	0.076185	0.030327
edge_token	15	CNOT(2->0)	534	0.080084	0.076935	0.030214
edge_token	16	CNOT(1->5)	532	0.079784	0.074985	0.030101
edge_token	17	CNOT(1->0)	524	0.078584	0.071986	0.029648
edge_token	18	CNOT(1->3)	517	0.077534	0.073335	0.029252
edge_token	19	CNOT(5->2)	514	0.077085	0.072735	0.029082
edge_token	20	CNOT(3->2)	508	0.076185	0.071686	0.028743
edge_token	21	CNOT(1->2)	503	0.075435	0.070036	0.028460
edge_token	22	CNOT(0->1)	499	0.074835	0.070786	0.028234
edge_token	23	CNOT(2->1)	497	0.074535	0.070786	0.028120
edge_token	24	CNOT(0->3)	493	0.073935	0.072136	0.027894
edge_token	25	CNOT(3->4)	487	0.073035	0.069736	0.027555
edge_token	26	CNOT(1->4)	483	0.072436	0.069586	0.027328
edge_token	27	CNOT(0->5)	480	0.071986	0.068386	0.027159
edge_token	28	CNOT(3->0)	477	0.071536	0.068986	0.026989
edge_token	29	CNOT(4->0)	475	0.071236	0.067786	0.026876
edge_token	30	CNOT(0->2)	446	0.066887	0.064787	0.025235
rot_axis	1	RX	10599	1.589532	0.807289	0.468775
rot_axis	2	RY	8925	1.338482	0.788842	0.394737
rot_axis	3	RZ	3086	0.462807	0.326935	0.136488
rot_qubit	1	q4	7387	1.107828	0.921266	0.326714
rot_qubit	2	q5	7020	1.052789	0.876725	0.310482
rot_qubit	3	q2	2225	0.333683	0.252549	0.098408
rot_qubit	4	q3	2096	0.314337	0.238152	0.092702
rot_qubit	5	q0	2053	0.307888	0.229154	0.090801
rot_qubit	6	q1	1829	0.274295	0.228104	0.080893
cnot_src	1	q4	3734	0.559988	0.403419	0.211271
cnot_src	2	q5	3462	0.519196	0.374025	0.195881
cnot_src	3	q2	2824	0.423515	0.306689	0.159783
cnot_src	4	q3	2623	0.393371	0.293791	0.148410
cnot_src	5	q1	2559	0.383773	0.295441	0.144789
cnot_src	6	q0	2472	0.370726	0.289442	0.139866
cnot_targ	1	q5	3833	0.574835	0.402819	0.216872
cnot_targ	2	q4	3326	0.498800	0.369826	0.188186
cnot_targ	3	q1	2729	0.409268	0.290042	0.154408
cnot_targ	4	q3	2705	0.405669	0.290642	0.153050
cnot_targ	5	q0	2546	0.381824	0.293791	0.144053
cnot_targ	6	q2	2535	0.380174	0.286143	0.143431
qubit_touch	1	q4	14447	2.166617	1.000000	0.249267
qubit_touch	2	q5	14315	2.146821	1.000000	0.246989
qubit_touch	3	q2	7584	1.137373	0.582783	0.130853
qubit_touch	4	q3	7424	1.113377	0.578134	0.128093
qubit_touch	5	q1	7117	1.067337	0.579784	0.122796
qubit_touch	6	q0	7071	1.060438	0.578134	0.122002
