run_dir	method	molecule	config	seed	episode	n_actions	n_rot	n_cnot	gate_token_counts	rot_qubit_counts	cnot_edge_counts	cnot_src_counts	cnot_targ_counts	qubit_touch_counts	qubits_touched
/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum	seed11111	13344	6	5	1	"{""CNOT(1->3)"": 1, ""RX(q=4)"": 1, ""RX(q=5)"": 1, ""RY(q=1)"": 1, ""RZ(q=1)"": 1, ""RZ(q=4)"": 1}"	"{""q1"": 2, ""q4"": 2, ""q5"": 1}"	"{""CNOT(1->3)"": 1}"	"{""q1"": 1}"	"{""q3"": 1}"	"{""q1"": 3, ""q3"": 1, ""q4"": 2, ""q5"": 1}"	"[""q1"", ""q3"", ""q4"", ""q5""]"
/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum	seed11111	13345	3	1	2	"{""CNOT(4->5)"": 1, ""CNOT(5->3)"": 1, ""RX(q=4)"": 1}"	"{""q4"": 1}"	"{""CNOT(4->5)"": 1, ""CNOT(5->3)"": 1}"	"{""q4"": 1, ""q5"": 1}"	"{""q3"": 1, ""q5"": 1}"	"{""q3"": 1, ""q4"": 2, ""q5"": 2}"	"[""q3"", ""q4"", ""q5""]"
/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum	seed11111	13346	5	3	2	"{""CNOT(2->4)"": 2, ""RX(q=4)"": 1, ""RY(q=5)"": 1, ""RZ(q=4)"": 1}"	"{""q4"": 2, ""q5"": 1}"	"{""CNOT(2->4)"": 2}"	"{""q2"": 2}"	"{""q4"": 2}"	"{""q2"": 2, ""q4"": 4, ""q5"": 1}"	"[""q2"", ""q4"", ""q5""]"
/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum	seed11111	13347	4	3	1	"{""CNOT(2->1)"": 1, ""RY(q=4)"": 1, ""RY(q=5)"": 1, ""RZ(q=2)"": 1}"	"{""q2"": 1, ""q4"": 1, ""q5"": 1}"	"{""CNOT(2->1)"": 1}"	"{""q2"": 1}"	"{""q1"": 1}"	"{""q1"": 1, ""q2"": 2, ""q4"": 1, ""q5"": 1}"	"[""q1"", ""q2"", ""q4"", ""q5""]"
/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum	seed11111	13348	6	2	4	"{""CNOT(1->2)"": 1, ""CNOT(2->0)"": 1, ""CNOT(3->0)"": 1, ""CNOT(5->3)"": 1, ""RX(q=5)"": 1, ""RY(q=4)"": 1}"	"{""q4"": 1, ""q5"": 1}"	"{""CNOT(1->2)"": 1, ""CNOT(2->0)"": 1, ""CNOT(3->0)"": 1, ""CNOT(5->3)"": 1}"	"{""q1"": 1, ""q2"": 1, ""q3"": 1, ""q5"": 1}"	"{""q0"": 2, ""q2"": 1, ""q3"": 1}"	"{""q0"": 2, ""q1"": 1, ""q2"": 2, ""q3"": 2, ""q4"": 1, ""q5"": 2}"	"[""q0"", ""q1"", ""q2"", ""q3"", ""q4"", ""q5""]"
/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum	seed11111	13349	4	3	1	"{""CNOT(3->2)"": 1, ""RY(q=2)"": 1, ""RY(q=4)"": 1, ""RY(q=5)"": 1}"	"{""q2"": 1, ""q4"": 1, ""q5"": 1}"	"{""CNOT(3->2)"": 1}"	"{""q3"": 1}"	"{""q2"": 1}"	"{""q2"": 2, ""q3"": 1, ""q4"": 1, ""q5"": 1}"	"[""q2"", ""q3"", ""q4"", ""q5""]"
/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum	seed11111	13350	6	3	3	"{""CNOT(0->2)"": 1, ""CNOT(2->1)"": 1, ""CNOT(5->2)"": 1, ""RX(q=4)"": 1, ""RX(q=5)"": 1, ""RZ(q=0)"": 1}"	"{""q0"": 1, ""q4"": 1, ""q5"": 1}"	"{""CNOT(0->2)"": 1, ""CNOT(2->1)"": 1, ""CNOT(5->2)"": 1}"	"{""q0"": 1, ""q2"": 1, ""q5"": 1}"	"{""q1"": 1, ""q2"": 2}"	"{""q0"": 2, ""q1"": 1, ""q2"": 3, ""q4"": 1, ""q5"": 2}"	"[""q0"", ""q1"", ""q2"", ""q4"", ""q5""]"
/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum	seed11111	13351	7	2	5	"{""CNOT(1->2)"": 1, ""CNOT(2->0)"": 1, ""CNOT(2->4)"": 1, ""CNOT(3->0)"": 1, ""CNOT(5->4)"": 1, ""RX(q=5)"": 1, ""RY(q=4)"": 1}"	"{""q4"": 1, ""q5"": 1}"	"{""CNOT(1->2)"": 1, ""CNOT(2->0)"": 1, ""CNOT(2->4)"": 1, ""CNOT(3->0)"": 1, ""CNOT(5->4)"": 1}"	"{""q1"": 1, ""q2"": 2, ""q3"": 1, ""q5"": 1}"	"{""q0"": 2, ""q2"": 1, ""q4"": 2}"	"{""q0"": 2, ""q1"": 1, ""q2"": 3, ""q3"": 1, ""q4"": 3, ""q5"": 2}"	"[""q0"", ""q1"", ""q2"", ""q3"", ""q4"", ""q5""]"
/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum	seed11111	13352	4	3	1	"{""CNOT(2->4)"": 1, ""RX(q=4)"": 1, ""RX(q=5)"": 1, ""RZ(q=5)"": 1}"	"{""q4"": 1, ""q5"": 2}"	"{""CNOT(2->4)"": 1}"	"{""q2"": 1}"	"{""q4"": 1}"	"{""q2"": 1, ""q4"": 2, ""q5"": 2}"	"[""q2"", ""q4"", ""q5""]"
/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum	seed11111	13353	3	2	1	"{""CNOT(5->2)"": 1, ""RX(q=4)"": 1, ""RY(q=5)"": 1}"	"{""q4"": 1, ""q5"": 1}"	"{""CNOT(5->2)"": 1}"	"{""q5"": 1}"	"{""q2"": 1}"	"{""q2"": 1, ""q4"": 1, ""q5"": 2}"	"[""q2"", ""q4"", ""q5""]"
/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum	seed11111	13354	39	16	23	"{""CNOT(1->3)"": 7, ""CNOT(1->4)"": 2, ""CNOT(2->3)"": 2, ""CNOT(2->5)"": 1, ""CNOT(3->0)"": 1, ""CNOT(3->1)"": 1, ""CNOT(3->4)"": 3, ""CNOT(4->1)"": 2, ""CNOT(4->2)"": 1, ""CNOT(5->2)"": 1, ""CNOT(5->4)"": 2, ""RX(q=0)"": 1, ""RX(q=3)"": 1, ""RX(q=4)"": 1, ""RX(q=5)"": 2, ""RY(q=2)"": 1, ""RY(q=3)"": 2, ""RY(q=4)"": 1, ""RY(q=5)"": 1, ""RZ(q=0)"": 2, ""RZ(q=1)"": 2, ""RZ(q=3)"": 1, ""RZ(q=4)"": 1}"	"{""q0"": 3, ""q1"": 2, ""q2"": 1, ""q3"": 4, ""q4"": 3, ""q5"": 3}"	"{""CNOT(1->3)"": 7, ""CNOT(1->4)"": 2, ""CNOT(2->3)"": 2, ""CNOT(2->5)"": 1, ""CNOT(3->0)"": 1, ""CNOT(3->1)"": 1, ""CNOT(3->4)"": 3, ""CNOT(4->1)"": 2, ""CNOT(4->2)"": 1, ""CNOT(5->2)"": 1, ""CNOT(5->4)"": 2}"	"{""q1"": 9, ""q2"": 3, ""q3"": 5, ""q4"": 3, ""q5"": 3}"	"{""q0"": 1, ""q1"": 3, ""q2"": 2, ""q3"": 9, ""q4"": 7, ""q5"": 1}"	"{""q0"": 4, ""q1"": 14, ""q2"": 6, ""q3"": 18, ""q4"": 13, ""q5"": 7}"	"[""q0"", ""q1"", ""q2"", ""q3"", ""q4"", ""q5""]"
/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum	seed11111	13355	6	3	3	"{""CNOT(1->3)"": 1, ""CNOT(2->1)"": 1, ""CNOT(5->4)"": 1, ""RX(q=2)"": 1, ""RX(q=4)"": 1, ""RX(q=5)"": 1}"	"{""q2"": 1, ""q4"": 1, ""q5"": 1}"	"{""CNOT(1->3)"": 1, ""CNOT(2->1)"": 1, ""CNOT(5->4)"": 1}"	"{""q1"": 1, ""q2"": 1, ""q5"": 1}"	"{""q1"": 1, ""q3"": 1, ""q4"": 1}"	"{""q1"": 2, ""q2"": 2, ""q3"": 1, ""q4"": 2, ""q5"": 2}"	"[""q1"", ""q2"", ""q3"", ""q4"", ""q5""]"
/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum	seed11111	13356	6	2	4	"{""CNOT(0->3)"": 1, ""CNOT(1->2)"": 1, ""CNOT(1->5)"": 1, ""CNOT(4->0)"": 1, ""RX(q=5)"": 1, ""RY(q=4)"": 1}"	"{""q4"": 1, ""q5"": 1}"	"{""CNOT(0->3)"": 1, ""CNOT(1->2)"": 1, ""CNOT(1->5)"": 1, ""CNOT(4->0)"": 1}"	"{""q0"": 1, ""q1"": 2, ""q4"": 1}"	"{""q0"": 1, ""q2"": 1, ""q3"": 1, ""q5"": 1}"	"{""q0"": 2, ""q1"": 2, ""q2"": 1, ""q3"": 1, ""q4"": 2, ""q5"": 2}"	"[""q0"", ""q1"", ""q2"", ""q3"", ""q4"", ""q5""]"
/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum	seed11111	13357	5	4	1	"{""CNOT(0->2)"": 1, ""RX(q=0)"": 1, ""RX(q=4)"": 1, ""RY(q=5)"": 1, ""RZ(q=2)"": 1}"	"{""q0"": 1, ""q2"": 1, ""q4"": 1, ""q5"": 1}"	"{""CNOT(0->2)"": 1}"	"{""q0"": 1}"	"{""q2"": 1}"	"{""q0"": 2, ""q2"": 2, ""q4"": 1, ""q5"": 1}"	"[""q0"", ""q2"", ""q4"", ""q5""]"
/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum	seed11111	13358	6	4	2	"{""CNOT(0->3)"": 1, ""CNOT(1->4)"": 1, ""RX(q=4)"": 1, ""RX(q=5)"": 1, ""RY(q=3)"": 1, ""RZ(q=0)"": 1}"	"{""q0"": 1, ""q3"": 1, ""q4"": 1, ""q5"": 1}"	"{""CNOT(0->3)"": 1, ""CNOT(1->4)"": 1}"	"{""q0"": 1, ""q1"": 1}"	"{""q3"": 1, ""q4"": 1}"	"{""q0"": 2, ""q1"": 1, ""q3"": 2, ""q4"": 2, ""q5"": 1}"	"[""q0"", ""q1"", ""q3"", ""q4"", ""q5""]"
/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum	seed11111	13359	8	5	3	"{""CNOT(1->2)"": 1, ""CNOT(2->5)"": 1, ""CNOT(4->0)"": 1, ""RX(q=1)"": 1, ""RX(q=3)"": 1, ""RY(q=0)"": 1, ""RY(q=4)"": 1, ""RY(q=5)"": 1}"	"{""q0"": 1, ""q1"": 1, ""q3"": 1, ""q4"": 1, ""q5"": 1}"	"{""CNOT(1->2)"": 1, ""CNOT(2->5)"": 1, ""CNOT(4->0)"": 1}"	"{""q1"": 1, ""q2"": 1, ""q4"": 1}"	"{""q0"": 1, ""q2"": 1, ""q5"": 1}"	"{""q0"": 2, ""q1"": 2, ""q2"": 2, ""q3"": 1, ""q4"": 2, ""q5"": 2}"	"[""q0"", ""q1"", ""q2"", ""q3"", ""q4"", ""q5""]"
/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum	seed11111	13360	5	3	2	"{""CNOT(2->4)"": 1, ""CNOT(5->3)"": 1, ""RX(q=3)"": 1, ""RX(q=4)"": 1, ""RY(q=5)"": 1}"	"{""q3"": 1, ""q4"": 1, ""q5"": 1}"	"{""CNOT(2->4)"": 1, ""CNOT(5->3)"": 1}"	"{""q2"": 1, ""q5"": 1}"	"{""q3"": 1, ""q4"": 1}"	"{""q2"": 1, ""q3"": 2, ""q4"": 2, ""q5"": 2}"	"[""q2"", ""q3"", ""q4"", ""q5""]"
/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum	seed11111	13361	4	3	1	"{""CNOT(4->1)"": 1, ""RX(q=4)"": 1, ""RY(q=4)"": 1, ""RY(q=5)"": 1}"	"{""q4"": 2, ""q5"": 1}"	"{""CNOT(4->1)"": 1}"	"{""q4"": 1}"	"{""q1"": 1}"	"{""q1"": 1, ""q4"": 3, ""q5"": 1}"	"[""q1"", ""q4"", ""q5""]"
/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum	seed11111	13362	3	2	1	"{""CNOT(2->3)"": 1, ""RX(q=5)"": 1, ""RY(q=4)"": 1}"	"{""q4"": 1, ""q5"": 1}"	"{""CNOT(2->3)"": 1}"	"{""q2"": 1}"	"{""q3"": 1}"	"{""q2"": 1, ""q3"": 1, ""q4"": 1, ""q5"": 1}"	"[""q2"", ""q3"", ""q4"", ""q5""]"
/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum	seed11111	13363	4	3	1	"{""CNOT(1->5)"": 1, ""RX(q=5)"": 1, ""RY(q=4)"": 1, ""RZ(q=3)"": 1}"	"{""q3"": 1, ""q4"": 1, ""q5"": 1}"	"{""CNOT(1->5)"": 1}"	"{""q1"": 1}"	"{""q5"": 1}"	"{""q1"": 1, ""q3"": 1, ""q4"": 1, ""q5"": 2}"	"[""q1"", ""q3"", ""q4"", ""q5""]"
/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum	seed11111	13364	3	2	1	"{""CNOT(2->0)"": 1, ""RX(q=4)"": 1, ""RY(q=5)"": 1}"	"{""q4"": 1, ""q5"": 1}"	"{""CNOT(2->0)"": 1}"	"{""q2"": 1}"	"{""q0"": 1}"	"{""q0"": 1, ""q2"": 1, ""q4"": 1, ""q5"": 1}"	"[""q0"", ""q2"", ""q4"", ""q5""]"
/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum	seed11111	13365	4	3	1	"{""CNOT(0->4)"": 1, ""RX(q=4)"": 1, ""RX(q=5)"": 1, ""RY(q=1)"": 1}"	"{""q1"": 1, ""q4"": 1, ""q5"": 1}"	"{""CNOT(0->4)"": 1}"	"{""q0"": 1}"	"{""q4"": 1}"	"{""q0"": 1, ""q1"": 1, ""q4"": 2, ""q5"": 1}"	"[""q0"", ""q1"", ""q4"", ""q5""]"
/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum	seed11111	13366	4	4	0	"{""RX(q=3)"": 1, ""RY(q=0)"": 1, ""RY(q=4)"": 1, ""RY(q=5)"": 1}"	"{""q0"": 1, ""q3"": 1, ""q4"": 1, ""q5"": 1}"	{}	{}	{}	"{""q0"": 1, ""q3"": 1, ""q4"": 1, ""q5"": 1}"	"[""q0"", ""q3"", ""q4"", ""q5""]"
