rank	count	retained_gates	retained_gates_with_angles_variants
38	1	RY(q=5) | CNOT(5->7) | RY(q=1) | CNOT(1->5)	count=1: RY(q=5,θ=-3.142) | CNOT(5->7) | RY(q=1,θ=+0.180) | CNOT(1->5)
39	1	RY(q=5) | RY(q=1) | CNOT(5->1) | RX(q=7)	count=1: RY(q=5,θ=+2.961) | RY(q=1,θ=+3.142) | CNOT(5->1) | RX(q=7,θ=+3.142)
40	1	RY(q=0) | RX(q=6) | CNOT(0->4) | CNOT(6->4)	count=1: RY(q=0,θ=+0.180) | RX(q=6,θ=-3.142) | CNOT(0->4) | CNOT(6->4)
41	1	RY(q=1) | RY(q=7) | RY(q=5) | CNOT(5->1)	count=1: RY(q=1,θ=+3.142) | RY(q=7,θ=+3.142) | RY(q=5,θ=+2.961) | CNOT(5->1)
42	1	RX(q=4) | RY(q=0) | CNOT(4->6) | CNOT(0->4)	count=1: RX(q=4,θ=-3.142) | RY(q=0,θ=+0.180) | CNOT(4->6) | CNOT(0->4)
43	1	RY(q=5) | RY(q=7) | CNOT(7->1) | CNOT(5->1)	count=1: RY(q=5,θ=+2.961) | RY(q=7,θ=-3.142) | CNOT(7->1) | CNOT(5->1)
44	1	RY(q=4) | RY(q=6) | RY(q=0) | CNOT(0->4)	count=1: RY(q=4,θ=-3.142) | RY(q=6,θ=+3.142) | RY(q=0,θ=+0.180) | CNOT(0->4)
45	1	RY(q=1) | CNOT(1->7) | RY(q=5) | CNOT(1->5) | CNOT(5->7)	count=1: RY(q=1,θ=+0.180) | CNOT(1->7) | RY(q=5,θ=-3.142) | CNOT(1->5) | CNOT(5->7)
46	1	RY(q=1) | RX(q=5) | RY(q=7) | CNOT(1->5)	count=1: RY(q=1,θ=+0.180) | RX(q=5,θ=-3.142) | RY(q=7,θ=+3.142) | CNOT(1->5)
47	1	RY(q=5) | RX(q=7) | CNOT(7->2) | CNOT(7->2) | CNOT(7->2) | CNOT(7->2) | RZ(q=6) | RZ(q=1) | CNOT(0->6) | CNOT(2->3) | RZ(q=3) | RZ(q=1) | RY(q=1) | CNOT(0->4) | CNOT(2->4) | CNOT(2->4) | CNOT(2->4) | CNOT(2->4) | CNOT(2->4) | CNOT(0->2) | RX(q=4) | RX(q=4) | RX(q=4) | CNOT(3->2) | CNOT(7->3) | RX(q=4) | CNOT(0->7) | RX(q=0) | RX(q=6) | RX(q=6) | RX(q=6) | RX(q=6) | CNOT(5->3) | CNOT(1->5)	count=1: RY(q=5,θ=-3.142) | RX(q=7,θ=-3.142) | CNOT(7->2) | CNOT(7->2) | CNOT(7->2) | CNOT(7->2) | RZ(q=6,θ=-3.142) | RZ(q=1,θ=-3.142) | CNOT(0->6) | CNOT(2->3) | RZ(q=3,θ=-3.142) | RZ(q=1,θ=-3.142) | RY(q=1,θ=+0.180) | CNOT(0->4) | CNOT(2->4) | CNOT(2->4) | CNOT(2->4) | CNOT(2->4) | CNOT(2->4) | CNOT(0->2) | RX(q=4,θ=+0.000) | RX(q=4,θ=+3.142) | RX(q=4,θ=+3.142) | CNOT(3->2) | CNOT(7->3) | RX(q=4,θ=-0.000) | CNOT(0->7) | RX(q=0,θ=-0.000) | RX(q=6,θ=-0.000) | RX(q=6,θ=-0.000) | RX(q=6,θ=-0.000) | RX(q=6,θ=-0.000) | CNOT(5->3) | CNOT(1->5)
48	1	RY(q=5) | RY(q=7) | CNOT(7->1) | CNOT(7->1) | CNOT(7->1) | CNOT(5->1)	count=1: RY(q=5,θ=+2.961) | RY(q=7,θ=-3.142) | CNOT(7->1) | CNOT(7->1) | CNOT(7->1) | CNOT(5->1)
49	1	RX(q=7) | RY(q=5) | RY(q=1) | CNOT(1->5)	count=1: RX(q=7,θ=+3.142) | RY(q=5,θ=-3.142) | RY(q=1,θ=+0.180) | CNOT(1->5)
50	1	RY(q=7) | RY(q=1) | CNOT(1->5) | RY(q=5)	count=1: RY(q=7,θ=+3.142) | RY(q=1,θ=-0.180) | CNOT(1->5) | RY(q=5,θ=-3.142)
51	1	RY(q=1) | RY(q=7) | CNOT(1->5) | CNOT(7->5)	count=1: RY(q=1,θ=+0.180) | RY(q=7,θ=-3.142) | CNOT(1->5) | CNOT(7->5)
52	1	RY(q=1) | CNOT(1->7) | RY(q=5) | RX(q=7) | CNOT(1->5) | CNOT(6->0) | CNOT(4->1) | CNOT(6->0) | RX(q=6) | CNOT(6->0) | CNOT(6->0) | CNOT(6->0) | CNOT(6->7) | CNOT(6->0) | CNOT(6->7) | CNOT(6->7) | CNOT(6->7) | CNOT(6->0) | CNOT(6->0) | CNOT(4->5) | CNOT(3->1) | RY(q=5) | CNOT(1->7)	count=1: RY(q=1,θ=+0.180) | CNOT(1->7) | RY(q=5,θ=+3.142) | RX(q=7,θ=-3.142) | CNOT(1->5) | CNOT(6->0) | CNOT(4->1) | CNOT(6->0) | RX(q=6,θ=-0.000) | CNOT(6->0) | CNOT(6->0) | CNOT(6->0) | CNOT(6->7) | CNOT(6->0) | CNOT(6->7) | CNOT(6->7) | CNOT(6->7) | CNOT(6->0) | CNOT(6->0) | CNOT(4->5) | CNOT(3->1) | RY(q=5,θ=+0.000) | CNOT(1->7)
53	1	RX(q=6) | RY(q=0) | CNOT(6->4) | CNOT(0->4)	count=1: RX(q=6,θ=-3.142) | RY(q=0,θ=+0.180) | CNOT(6->4) | CNOT(0->4)
54	1	RY(q=0) | RZ(q=5) | RZ(q=3) | RY(q=6) | RZ(q=3) | RZ(q=3) | RZ(q=3) | RY(q=6) | CNOT(0->4) | CNOT(7->5) | CNOT(7->5) | CNOT(7->5) | CNOT(7->5) | RX(q=4)	count=1: RY(q=0,θ=+0.180) | RZ(q=5,θ=-3.142) | RZ(q=3,θ=-3.142) | RY(q=6,θ=+3.142) | RZ(q=3,θ=-3.142) | RZ(q=3,θ=-3.142) | RZ(q=3,θ=-3.142) | RY(q=6,θ=+0.000) | CNOT(0->4) | CNOT(7->5) | CNOT(7->5) | CNOT(7->5) | CNOT(7->5) | RX(q=4,θ=-3.142)
55	1	RY(q=5) | CNOT(5->1) | RY(q=5) | RY(q=7)	count=1: RY(q=5,θ=-0.180) | CNOT(5->1) | RY(q=5,θ=-3.142) | RY(q=7,θ=+3.142)
56	1	RY(q=7) | RY(q=1) | CNOT(1->5) | RY(q=5) | CNOT(5->7) | CNOT(5->7)	count=1: RY(q=7,θ=+3.142) | RY(q=1,θ=-0.180) | CNOT(1->5) | RY(q=5,θ=-3.142) | CNOT(5->7) | CNOT(5->7)
57	1	RY(q=1) | RY(q=5) | CNOT(5->1) | RY(q=7)	count=1: RY(q=1,θ=+3.142) | RY(q=5,θ=+2.961) | CNOT(5->1) | RY(q=7,θ=+3.142)
58	1	RY(q=1) | RX(q=7) | RX(q=5) | CNOT(1->5)	count=1: RY(q=1,θ=+0.180) | RX(q=7,θ=+3.142) | RX(q=5,θ=-3.142) | CNOT(1->5)
59	1	RX(q=5) | RY(q=1) | RY(q=7) | CNOT(1->5)	count=1: RX(q=5,θ=-3.142) | RY(q=1,θ=+0.180) | RY(q=7,θ=+3.142) | CNOT(1->5)
60	1	RY(q=1) | CNOT(1->5) | RX(q=7) | RY(q=5)	count=1: RY(q=1,θ=-0.180) | CNOT(1->5) | RX(q=7,θ=+3.142) | RY(q=5,θ=-3.142)
61	1	RY(q=0) | RY(q=6) | RY(q=4) | CNOT(0->4)	count=1: RY(q=0,θ=+0.180) | RY(q=6,θ=+3.142) | RY(q=4,θ=-3.142) | CNOT(0->4)
62	1	RY(q=0) | RX(q=4) | RX(q=6) | CNOT(0->4)	count=1: RY(q=0,θ=+0.180) | RX(q=4,θ=-3.142) | RX(q=6,θ=+3.142) | CNOT(0->4)
63	1	RX(q=4) | RY(q=6) | RY(q=0) | CNOT(0->4)	count=1: RX(q=4,θ=-3.142) | RY(q=6,θ=+3.142) | RY(q=0,θ=+0.180) | CNOT(0->4)
64	1	RY(q=6) | RY(q=4) | RY(q=0) | CNOT(0->4)	count=1: RY(q=6,θ=+3.142) | RY(q=4,θ=-3.142) | RY(q=0,θ=+0.180) | CNOT(0->4)
65	1	RY(q=5) | RX(q=7) | CNOT(0->7) | RY(q=6) | CNOT(0->7) | CNOT(0->7) | CNOT(1->6) | CNOT(1->6) | CNOT(2->6) | CNOT(4->5) | CNOT(1->6) | CNOT(1->7) | RZ(q=5) | RX(q=2) | CNOT(2->6) | CNOT(6->7) | CNOT(4->1) | CNOT(6->7) | CNOT(4->1) | CNOT(3->1) | CNOT(4->1) | RY(q=3) | RX(q=4) | RY(q=1) | CNOT(4->1) | CNOT(4->1) | CNOT(0->6) | CNOT(6->1) | CNOT(6->1) | CNOT(6->1) | CNOT(6->1) | CNOT(6->1) | RZ(q=4) | CNOT(1->5)	count=1: RY(q=5,θ=-3.142) | RX(q=7,θ=+3.142) | CNOT(0->7) | RY(q=6,θ=-0.000) | CNOT(0->7) | CNOT(0->7) | CNOT(1->6) | CNOT(1->6) | CNOT(2->6) | CNOT(4->5) | CNOT(1->6) | CNOT(1->7) | RZ(q=5,θ=-3.142) | RX(q=2,θ=-0.000) | CNOT(2->6) | CNOT(6->7) | CNOT(4->1) | CNOT(6->7) | CNOT(4->1) | CNOT(3->1) | CNOT(4->1) | RY(q=3,θ=-0.000) | RX(q=4,θ=-0.000) | RY(q=1,θ=+0.180) | CNOT(4->1) | CNOT(4->1) | CNOT(0->6) | CNOT(6->1) | CNOT(6->1) | CNOT(6->1) | CNOT(6->1) | CNOT(6->1) | RZ(q=4,θ=-3.142) | CNOT(1->5)
