scope	bucket	episodes	hits	avg_hit_step	avg_prefix_len	avg_final_error_mha	top_last_action	top_last_action_count
ALL	0.53	2	2	27.5	27.5	0.5319523121887215	CNOT(2->5)	1
ALL	0.54	5	5	24.6	24.6	0.5399798763527031	CNOT(5->1)	1
ALL	0.55	184760	184760	3.055634336436458	3.055634336436458	0.5543249901001733	RY(q=5)	44849
ALL	0.56	1553	1553	15.392788151963941	15.392788151963941	0.5577550887194395	RY(q=5)	197
ALL	0.57	398	398	18.190954773869347	18.190954773869347	0.5692524896311095	RY(q=5)	45
ALL	0.58	220	220	18.554545454545455	18.554545454545455	0.579532786735306	RY(q=5)	20
ALL	0.59	156	156	18.314102564102566	18.314102564102566	0.5898068032121269	RY(q=5)	17
ALL	0.60	127	127	19.976377952755904	19.976377952755904	0.5996289279141299	RY(q=5)	11
ALL	0.61	108	108	20	20	0.6105604886001899	RX(q=4)	11
ALL	0.62	84	84	19.05952380952381	19.05952380952381	0.619980555334695	RY(q=4)	11
ALL	0.63	78	78	19.28205128205128	19.28205128205128	0.6297043414794674	RX(q=5)	9
ALL	0.64	73	73	19.65753424657534	19.65753424657534	0.6397281371690691	RX(q=5)	7
ALL	0.65	66	66	20.045454545454547	20.045454545454547	0.6503149845296299	CNOT(4->5)	6
ALL	0.66	49	49	19.979591836734695	19.979591836734695	0.6601323235391833	RY(q=4)	6
ALL	0.67	49	49	21.244897959183675	21.244897959183675	0.6699515278111369	CNOT(4->5)	5
ALL	0.68	46	46	20.130434782608695	20.130434782608695	0.6795660264971606	RY(q=5)	6
ALL	0.69	39	39	19.94871794871795	19.94871794871795	0.6900435824570048	RY(q=5)	6
ALL	0.70	38	38	20.63157894736842	20.63157894736842	0.70070933864336	RY(q=4)	3
ALL	0.71	46	46	19.695652173913043	19.695652173913043	0.7106973833418359	RX(q=5)	7
ALL	0.72	32	32	20.375	20.375	0.7203612955169469	RX(q=4)	4
ALL	0.73	38	38	21.236842105263158	21.236842105263158	0.7302627076678678	CNOT(5->4)	6
ALL	0.74	37	37	22.83783783783784	22.83783783783784	0.7400796316442445	RX(q=5)	5
ALL	0.75	35	35	21	21	0.7504377954025492	RX(q=0)	3
ALL	0.76	27	27	19.14814814814815	19.14814814814815	0.7598449797221463	RX(q=4)	4
ALL	0.77	29	29	20.896551724137932	20.896551724137932	0.7690666879323761	RY(q=5)	3
ALL	0.78	29	29	23.24137931034483	23.24137931034483	0.7798750015840249	RY(q=5)	4
ALL	0.79	22	22	24.772727272727273	24.772727272727273	0.7894643902243653	RX(q=5)	3
ALL	0.80	28	28	21	21	0.7993306442051841	RX(q=4)	5
ALL	0.81	32	32	22.53125	22.53125	0.8096292297558594	RY(q=4)	5
ALL	0.82	25	25	23.92	23.92	0.8200786970557772	RY(q=2)	3
ALL	0.83	19	19	22.42105263157895	22.42105263157895	0.8299005844692132	RX(q=5)	5
ALL	0.84	18	18	20.77777777777778	20.77777777777778	0.8398304223710993	RY(q=5)	2
ALL	0.85	25	25	20.52	20.52	0.8495764220089796	CNOT(5->4)	3
ALL	0.86	13	13	24.23076923076923	24.23076923076923	0.8595709932957509	RY(q=2)	3
ALL	0.87	18	18	25.444444444444443	25.444444444444443	0.8692534081835075	RX(q=1)	3
ALL	0.88	16	16	18.125	18.125	0.8793483962771242	RZ(q=3)	2
ALL	0.89	21	21	22.904761904761905	22.904761904761905	0.8894252980034201	RX(q=4)	3
ALL	0.90	20	20	21.2	21.2	0.9003175441605116	RX(q=4)	2
ALL	0.91	17	17	21.58823529411765	21.58823529411765	0.909856320620631	RX(q=4)	2
ALL	0.92	12	12	22.916666666666668	22.916666666666668	0.9210494199233624	RY(q=5)	2
ALL	0.93	19	19	20.31578947368421	20.31578947368421	0.9310140284085084	RY(q=1)	3
ALL	0.94	18	18	22.38888888888889	22.38888888888889	0.9397720877792892	RY(q=4)	3
ALL	0.95	19	19	25.473684210526315	25.473684210526315	0.9499148666367468	RY(q=5)	2
ALL	0.96	14	14	23.857142857142858	23.857142857142858	0.9600415240481449	CNOT(4->5)	2
ALL	0.97	14	14	22.785714285714285	22.785714285714285	0.9696928824750118	RX(q=4)	2
ALL	0.98	13	13	21.615384615384617	21.615384615384617	0.981148013229298	RY(q=4)	2
ALL	0.99	15	15	23.2	23.2	0.9906031419248507	CNOT(4->5)	3
ALL	1.00	17	17	23.647058823529413	23.647058823529413	1.0016052837665887	RX(q=4)	2
ALL	1.01	18	18	21.27777777777778	21.27777777777778	1.0102858788638456	CNOT(5->4)	3
ALL	1.02	11	11	31.181818181818183	31.181818181818183	1.0193483306239026	CNOT(1->4)	2
ALL	1.03	16	16	21.25	21.25	1.0294489553677177	RY(q=5)	3
ALL	1.04	15	15	21.6	21.6	1.0400066384854985	RX(q=4)	3
ALL	1.05	10	10	23.4	23.4	1.0511022379050772	CNOT(5->1)	1
ALL	1.06	12	12	20.666666666666668	20.666666666666668	1.060133396817135	RX(q=0)	2
ALL	1.07	7	7	18.714285714285715	18.714285714285715	1.0705717557585157	RY(q=4)	3
ALL	1.08	15	15	25	25	1.0802106388326866	RX(q=4)	3
ALL	1.09	10	10	21.2	21.2	1.0901808759996356	CNOT(2->5)	2
ALL	1.10	9	9	21.88888888888889	21.88888888888889	1.1001408441294478	RX(q=4)	2
ALL	1.11	8	8	20.625	20.625	1.1100725263353262	RY(q=5)	2
ALL	1.12	10	10	26.6	26.6	1.1198927127979985	RX(q=5)	2
ALL	1.13	8	8	24.875	24.875	1.1289901623126042	CNOT(0->4)	2
ALL	1.14	13	13	26	26	1.141443218676759	CNOT(5->1)	1
ALL	1.15	7	7	23	23	1.150114292110871	RX(q=1)	2
ALL	1.16	3	3	27	27	1.1591041546393417	RY(q=4)	1
ALL	1.17	10	10	23.8	23.8	1.1697595234727132	CNOT(5->4)	1
ALL	1.18	11	11	18.818181818181817	18.818181818181817	1.1795267249432584	RX(q=5)	1
ALL	1.19	15	15	27.133333333333333	27.133333333333333	1.1895195458172008	CNOT(4->5)	2
ALL	1.20	9	9	24.88888888888889	24.88888888888889	1.1985738089157236	RX(q=0)	2
ALL	1.21	10	10	25.5	25.5	1.2107728420703623	CNOT(2->1)	1
ALL	1.22	13	13	18.692307692307693	18.692307692307693	1.2201852933206516	RY(q=5)	2
ALL	1.23	8	8	30.875	30.875	1.2307027516684776	CNOT(4->5)	2
ALL	1.24	6	6	23.5	23.5	1.2392569274819465	CNOT(3->1)	1
ALL	1.25	8	8	26	26	1.2512176425798494	RX(q=4)	1
ALL	1.26	14	14	30.714285714285715	30.714285714285715	1.258851001040538	CNOT(4->5)	2
ALL	1.27	6	6	26.333333333333332	26.333333333333332	1.2703231083287154	CNOT(0->3)	1
ALL	1.28	4	4	24.75	24.75	1.2773242486563419	CNOT(4->1)	1
ALL	1.29	12	12	30.166666666666668	30.166666666666668	1.2894333211583842	CNOT(2->5)	2
ALL	1.30	8	8	26	26	1.298653962556351	RY(q=5)	2
ALL	1.31	26	26	21.346153846153847	21.346153846153847	1.3082410460896883	CNOT(5->4)	3
ALL	1.32	15	15	22.333333333333332	22.333333333333332	1.320346044831311	CNOT(2->4)	2
ALL	1.33	8	8	28.25	28.25	1.3296277367027542	CNOT(4->3)	1
ALL	1.34	12	12	22.083333333333332	22.083333333333332	1.3398018585832894	CNOT(2->5)	2
ALL	1.35	10	10	21.6	21.6	1.3492879224783039	RX(q=3)	2
ALL	1.36	4	4	30.75	30.75	1.3607307495133725	CNOT(0->1)	1
ALL	1.37	9	9	24.11111111111111	24.11111111111111	1.3697881836668795	CNOT(4->5)	2
ALL	1.38	3	3	21.666666666666668	21.666666666666668	1.379614915839748	RX(q=5)	1
ALL	1.39	10	10	25.1	25.1	1.3908409238558406	RX(q=2)	2
ALL	1.40	9	9	19	19	1.398547187588485	RY(q=5)	1
ALL	1.41	38	38	21.210526315789473	21.210526315789473	1.4115692634808965	CNOT(5->4)	4
ALL	1.42	11	11	26.363636363636363	26.363636363636363	1.4184637480871034	CNOT(5->2)	3
ALL	1.43	8	8	17.75	17.75	1.430924585122284	CNOT(0->2)	1
ALL	1.44	14	14	23.571428571428573	23.571428571428573	1.4386458760911682	RY(q=5)	3
ALL	1.45	6	6	21.5	21.5	1.451526739198646	RX(q=4)	1
ALL	1.46	5	5	29	29	1.4583175629876877	RY(q=0)	1
ALL	1.47	9	9	23.666666666666668	23.666666666666668	1.469655286132681	RX(q=2)	1
ALL	1.48	10	10	26.6	26.6	1.4819154479608798	CNOT(5->2)	1
ALL	1.49	7	7	29	29	1.4927482073149787	CNOT(5->4)	1
ALL	1.50	9	9	29	29	1.499112205965621	CNOT(1->0)	2
ALL	1.51	1	1	39	39	1.5107360375967716	CNOT(2->4)	1
ALL	1.52	8	8	25.125	25.125	1.5200343621817325	RX(q=1)	2
ALL	1.53	5	5	21.2	21.2	1.5282836450186466	CNOT(1->4)	1
ALL	1.54	9	9	29.11111111111111	29.11111111111111	1.5398730018285376	RY(q=5)	1
ALL	1.55	6	6	20.833333333333332	20.833333333333332	1.5480418199708506	CNOT(5->4)	2
ALL	1.56	7	7	18.142857142857142	18.142857142857142	1.5611859450202255	RY(q=5)	3
ALL	1.57	5	5	26.2	26.2	1.5698231239223759	RY(q=4)	1
ALL	1.58	7	7	22.142857142857142	22.142857142857142	1.5801174320235438	CNOT(5->4)	1
ALL	1.59	5	5	18	18	1.5894502466583305	RZ(q=3)	1
ALL	1.60	1	1	16	16	1.5994277490225528	CNOT(3->1)	1
ALL	failure	10764	0		24.844853214418432	515.405625025633	RY(q=5)	428
crlqas/COBYLA	0.13	1	1	27	27	0.13243285577146935	RY(q=3)	1
crlqas/COBYLA	0.27	29	29	13.310344827586206	13.310344827586206	0.2690871111812474	CNOT(5->4)	4
crlqas/COBYLA	0.28	4	4	26	26	0.2780572484004651	RY(q=1)	1
crlqas/COBYLA	0.29	4	4	27.5	27.5	0.29091709411854794	CNOT(5->2)	1
crlqas/COBYLA	0.30	3	3	25	25	0.2985097693291768	RZ(q=5)	1
crlqas/COBYLA	0.32	1	1	9	9	0.31973403424778724	CNOT(2->3)	1
crlqas/COBYLA	0.33	2	2	23.5	23.5	0.33321578929701445	CNOT(4->5)	1
crlqas/COBYLA	0.34	2	2	26	26	0.337286216092636	CNOT(1->5)	1
crlqas/COBYLA	0.35	1	1	21	21	0.3451647898842225	CNOT(3->2)	1
crlqas/COBYLA	0.37	2	2	29	29	0.36892885690331667	CNOT(5->0)	1
crlqas/COBYLA	0.38	2	2	25	25	0.3817300902788645	CNOT(4->3)	1
crlqas/COBYLA	0.39	1	1	33	33	0.38513773339943214	RX(q=5)	1
crlqas/COBYLA	0.40	1	1	36	36	0.3974103549531094	CNOT(4->1)	1
crlqas/COBYLA	0.42	4	4	29.5	29.5	0.42028603072541415	CNOT(5->4)	1
crlqas/COBYLA	0.45	2	2	16	16	0.45325602786139285	CNOT(4->0)	1
crlqas/COBYLA	0.49	2	2	25	25	0.49096229775802414	CNOT(4->0)	1
crlqas/COBYLA	0.50	2	2	15.5	15.5	0.49948489560502907	CNOT(4->5)	1
crlqas/COBYLA	0.51	1	1	14	14	0.5052429687033566	CNOT(5->4)	1
crlqas/COBYLA	0.52	1	1	26	26	0.5167223083102357	CNOT(4->5)	1
crlqas/COBYLA	0.53	1	1	39	39	0.5297310867806715	CNOT(2->5)	1
crlqas/COBYLA	0.54	2	2	26	26	0.5420136642717566	CNOT(5->1)	1
crlqas/COBYLA	0.55	46452	46452	3.2357917850684577	3.2357917850684577	0.5544489215977292	RY(q=5)	10106
crlqas/COBYLA	0.56	825	825	12.96	12.96	0.5576610883529642	RY(q=5)	124
crlqas/COBYLA	0.57	185	185	17.027027027027028	17.027027027027028	0.5690980374784605	RY(q=4)	25
crlqas/COBYLA	0.58	92	92	15.934782608695652	15.934782608695652	0.579640983369832	RY(q=4)	15
crlqas/COBYLA	0.59	78	78	16.602564102564102	16.602564102564102	0.5895852087437339	RX(q=4)	11
crlqas/COBYLA	0.60	60	60	17.966666666666665	17.966666666666665	0.5996530098662115	RY(q=5)	8
crlqas/COBYLA	0.61	46	46	19.347826086956523	19.347826086956523	0.610638024955573	RX(q=4)	8
crlqas/COBYLA	0.62	32	32	17.96875	17.96875	0.6194863692007835	RY(q=4)	6
crlqas/COBYLA	0.63	37	37	15.81081081081081	15.81081081081081	0.6299493656325368	RX(q=5)	7
crlqas/COBYLA	0.64	28	28	17.714285714285715	17.714285714285715	0.6393063143519078	RX(q=4)	5
crlqas/COBYLA	0.65	22	22	20.136363636363637	20.136363636363637	0.6511296807354809	RX(q=4)	3
crlqas/COBYLA	0.66	22	22	18.045454545454547	18.045454545454547	0.6590507915356496	RY(q=4)	3
crlqas/COBYLA	0.67	15	15	19.2	19.2	0.6697589658309985	RY(q=4)	3
crlqas/COBYLA	0.68	20	20	19.65	19.65	0.6786043382395412	RY(q=5)	3
crlqas/COBYLA	0.69	19	19	18.526315789473685	18.526315789473685	0.6899144257595904	RY(q=5)	5
crlqas/COBYLA	0.70	13	13	20.692307692307693	20.692307692307693	0.7002424859384823	RY(q=4)	2
crlqas/COBYLA	0.71	22	22	20.227272727272727	20.227272727272727	0.7104532441830422	RX(q=5)	4
crlqas/COBYLA	0.72	13	13	20.153846153846153	20.153846153846153	0.7206846846091144	RY(q=4)	2
crlqas/COBYLA	0.73	11	11	23.545454545454547	23.545454545454547	0.7296201683058001	CNOT(5->4)	3
crlqas/COBYLA	0.74	12	12	23.583333333333332	23.583333333333332	0.7392639570098503	RX(q=5)	3
crlqas/COBYLA	0.75	10	10	24.7	24.7	0.7505558373779309	RY(q=0)	2
crlqas/COBYLA	0.76	7	7	22	22	0.7592554948208731	RX(q=4)	1
crlqas/COBYLA	0.77	12	12	21.583333333333332	21.583333333333332	0.7691262473654703	RY(q=5)	2
crlqas/COBYLA	0.78	10	10	24.4	24.4	0.7809886476144001	RX(q=4)	2
crlqas/COBYLA	0.79	9	9	26.333333333333332	26.333333333333332	0.7895697388222958	RX(q=3)	2
crlqas/COBYLA	0.80	11	11	15.545454545454545	15.545454545454545	0.7992990368134268	RX(q=4)	4
crlqas/COBYLA	0.81	8	8	23	23	0.8096966489032908	RY(q=4)	2
crlqas/COBYLA	0.82	10	10	21.1	21.1	0.8199678791918075	RX(q=3)	2
crlqas/COBYLA	0.83	7	7	21.571428571428573	21.571428571428573	0.8288253039821265	RY(q=5)	3
crlqas/COBYLA	0.84	9	9	19.88888888888889	19.88888888888889	0.8393578515790208	CNOT(5->2)	1
crlqas/COBYLA	0.85	10	10	16.9	16.9	0.8490064118023	CNOT(5->4)	2
crlqas/COBYLA	0.86	5	5	22.2	22.2	0.8583563364766178	CNOT(5->4)	1
crlqas/COBYLA	0.87	5	5	34.8	34.8	0.8688027465137083	RX(q=1)	2
crlqas/COBYLA	0.88	2	2	27	27	0.880899548257652	RX(q=5)	1
crlqas/COBYLA	0.89	6	6	25.5	25.5	0.8896839104458228	RX(q=2)	1
crlqas/COBYLA	0.90	5	5	19	19	0.8995445467618879	RY(q=3)	1
crlqas/COBYLA	0.91	6	6	27	27	0.9097373416135923	RX(q=4)	1
crlqas/COBYLA	0.92	7	7	19.714285714285715	19.714285714285715	0.9210962624892309	RY(q=5)	2
crlqas/COBYLA	0.93	10	10	17.7	17.7	0.9318777455296967	RX(q=4)	2
crlqas/COBYLA	0.94	9	9	20.666666666666668	20.666666666666668	0.9395292344244806	RX(q=4)	1
crlqas/COBYLA	0.95	8	8	25.25	25.25	0.9500698599602675	RY(q=5)	1
crlqas/COBYLA	0.96	5	5	28.6	28.6	0.9588960749535858	RZ(q=3)	1
crlqas/COBYLA	0.97	3	3	17.333333333333332	17.333333333333332	0.965377969782466	RX(q=4)	2
crlqas/COBYLA	0.98	8	8	21.625	21.625	0.9811996950821467	RY(q=5)	1
crlqas/COBYLA	0.99	8	8	22	22	0.9907471350063535	CNOT(4->5)	2
crlqas/COBYLA	1.00	5	5	24.8	24.8	1.0024084656905075	CNOT(5->4)	1
crlqas/COBYLA	1.01	7	7	23.857142857142858	23.857142857142858	1.0111904686423503	CNOT(5->4)	2
crlqas/COBYLA	1.02	5	5	34.2	34.2	1.0190538097955226	RZ(q=1)	1
crlqas/COBYLA	1.03	4	4	19	19	1.0280201122450094	CNOT(5->4)	1
crlqas/COBYLA	1.04	2	2	19.5	19.5	1.0420369370844895	RX(q=4)	1
crlqas/COBYLA	1.05	4	4	25.25	25.25	1.0504428133919497	CNOT(5->1)	1
crlqas/COBYLA	1.06	7	7	17	17	1.0602075690699613	RX(q=0)	2
crlqas/COBYLA	1.07	3	3	18.333333333333332	18.333333333333332	1.071467316985893	RY(q=1)	2
crlqas/COBYLA	1.08	2	2	37	37	1.0774918054110572	RY(q=3)	1
crlqas/COBYLA	1.09	3	3	28.666666666666668	28.666666666666668	1.0889448047664747	RY(q=0)	1
crlqas/COBYLA	1.10	4	4	20.75	20.75	1.0992583787845511	RX(q=4)	2
crlqas/COBYLA	1.11	2	2	16	16	1.1082811197482556	RY(q=5)	1
crlqas/COBYLA	1.12	4	4	18.25	18.25	1.1191837558732765	RX(q=5)	2
crlqas/COBYLA	1.13	2	2	33	33	1.1257775303565865	RZ(q=3)	1
crlqas/COBYLA	1.14	7	7	26	26	1.1412539114160782	CNOT(5->1)	1
crlqas/COBYLA	1.15	3	3	29	29	1.1505729364760242	RX(q=1)	1
crlqas/COBYLA	1.16	2	2	27	27	1.1601947988539862	RY(q=4)	1
crlqas/COBYLA	1.17	3	3	27.333333333333332	27.333333333333332	1.1717372771376706	CNOT(5->4)	1
crlqas/COBYLA	1.18	6	6	19	19	1.178495058962466	RX(q=5)	1
crlqas/COBYLA	1.19	5	5	33.2	33.2	1.1922067588589158	CNOT(4->5)	1
crlqas/COBYLA	1.20	2	2	26	26	1.197963100817212	CNOT(4->1)	1
crlqas/COBYLA	1.21	4	4	23	23	1.2107239075453968	CNOT(2->1)	1
crlqas/COBYLA	1.22	6	6	17.666666666666668	17.666666666666668	1.2199227530421315	RX(q=5)	2
crlqas/COBYLA	1.23	2	2	29	29	1.2307899666375022	CNOT(4->5)	1
crlqas/COBYLA	1.24	3	3	29.666666666666668	29.666666666666668	1.2411644547369132	CNOT(3->1)	1
crlqas/COBYLA	1.25	4	4	25.5	25.5	1.2513370802045287	RX(q=4)	1
crlqas/COBYLA	1.26	5	5	27.2	27.2	1.2586439703955676	CNOT(4->5)	1
crlqas/COBYLA	1.27	2	2	35	35	1.2682417566285409	CNOT(0->3)	1
crlqas/COBYLA	1.29	4	4	37.75	37.75	1.2907632825687188	CNOT(4->2)	1
crlqas/COBYLA	1.30	1	1	21	21	1.2952261477536808	RY(q=1)	1
crlqas/COBYLA	1.31	3	3	19	19	1.3120629576821585	RY(q=5)	1
crlqas/COBYLA	1.32	6	6	27.166666666666668	27.166666666666668	1.321022296324396	RY(q=4)	1
crlqas/COBYLA	1.33	2	2	33.5	33.5	1.3284666828976555	CNOT(4->3)	1
crlqas/COBYLA	1.34	3	3	23.666666666666668	23.666666666666668	1.3384866465753948	RY(q=4)	1
crlqas/COBYLA	1.35	2	2	31.5	31.5	1.3472256255786519	RX(q=3)	2
crlqas/COBYLA	1.36	2	2	35	35	1.358068143314739	CNOT(0->1)	1
crlqas/COBYLA	1.37	1	1	35	35	1.3732630914855548	CNOT(2->3)	1
crlqas/COBYLA	1.38	1	1	9	9	1.3807421861979918	RX(q=5)	1
crlqas/COBYLA	1.39	2	2	25.5	25.5	1.3904818128862573	CNOT(4->2)	1
crlqas/COBYLA	1.40	4	4	22.75	22.75	1.3982628310107437	RY(q=5)	1
crlqas/COBYLA	1.41	6	6	26.333333333333332	26.333333333333332	1.4093567521585488	CNOT(1->3)	1
crlqas/COBYLA	1.42	1	1	23	23	1.4169902426388603	RY(q=3)	1
crlqas/COBYLA	1.43	1	1	22	22	1.434912264480559	CNOT(0->2)	1
crlqas/COBYLA	1.44	5	5	25.8	25.8	1.4382018226857696	RY(q=4)	2
crlqas/COBYLA	1.45	3	3	21.333333333333332	21.333333333333332	1.4527168141729163	RX(q=4)	1
crlqas/COBYLA	1.46	3	3	30.333333333333332	30.333333333333332	1.46024732014934	RY(q=0)	1
crlqas/COBYLA	1.47	3	3	25.666666666666668	25.666666666666668	1.4701455572930417	RX(q=2)	1
crlqas/COBYLA	1.48	3	3	28.333333333333332	28.333333333333332	1.481183506284604	CNOT(5->2)	1
crlqas/COBYLA	1.49	4	4	20	20	1.4928471936124232	CNOT(5->4)	1
crlqas/COBYLA	1.50	1	1	25	25	1.4976742872914173	CNOT(1->0)	1
crlqas/COBYLA	1.54	2	2	19	19	1.5398092247842499	RY(q=5)	1
crlqas/COBYLA	1.55	1	1	32	32	1.5466968915092139	CNOT(1->5)	1
crlqas/COBYLA	1.56	2	2	16.5	16.5	1.5623793781296413	CNOT(4->5)	1
crlqas/COBYLA	1.57	1	1	33	33	1.572521261705262	RY(q=4)	1
crlqas/COBYLA	1.58	3	3	22.333333333333332	22.333333333333332	1.5826626807449173	CNOT(5->4)	1
crlqas/COBYLA	1.59	2	2	23.5	23.5	1.5911732936491063	RZ(q=3)	1
crlqas/COBYLA	failure	1558	0		17.85622593068036	342.11156214037237	RY(q=4)	65
crlqas/Rotosolve	0.27	1	1	15	15	0.27079646996419626	RX(q=5)	1
crlqas/Rotosolve	0.55	47132	47132	3.612556225070016	3.612556225070016	0.5544438940047266	CNOT(5->4)	8836
crlqas/Rotosolve	0.56	32	32	29.09375	29.09375	0.5580335370815037	CNOT(5->3)	3
crlqas/Rotosolve	0.57	6	6	31.833333333333332	31.833333333333332	0.5713238247730956	RZ(q=3)	1
crlqas/Rotosolve	0.58	2	2	29.5	29.5	0.5759338596380559	CNOT(5->2)	1
crlqas/Rotosolve	0.59	1	1	29	29	0.5907351314533571	RY(q=2)	1
crlqas/Rotosolve	0.60	1	1	40	40	0.5990487927309829	CNOT(3->5)	1
crlqas/Rotosolve	0.61	2	2	33.5	33.5	0.609183137362912	CNOT(0->3)	1
crlqas/Rotosolve	0.62	1	1	24	24	0.6155138176211494	CNOT(4->1)	1
crlqas/Rotosolve	0.63	3	3	35.333333333333336	35.333333333333336	0.6303412158518521	CNOT(3->5)	1
crlqas/Rotosolve	0.64	1	1	46	46	0.6439182418009892	RZ(q=3)	1
crlqas/Rotosolve	0.65	1	1	20	20	0.6502013031060017	CNOT(4->5)	1
crlqas/Rotosolve	0.66	1	1	32	32	0.662956024619632	RZ(q=2)	1
crlqas/Rotosolve	0.67	1	1	27	27	0.6731516961107076	RX(q=5)	1
crlqas/Rotosolve	0.69	1	1	28	28	0.6861939393960625	RX(q=5)	1
crlqas/Rotosolve	0.74	2	2	38	38	0.7406288989360021	RY(q=4)	1
crlqas/Rotosolve	0.77	1	1	27	27	0.7672582248314797	CNOT(0->4)	1
crlqas/Rotosolve	0.78	2	2	24	24	0.7799445082925516	CNOT(1->5)	1
crlqas/Rotosolve	0.81	3	3	27.666666666666668	27.666666666666668	0.8105813884580945	CNOT(0->4)	1
crlqas/Rotosolve	0.82	3	3	30	30	0.820295330961803	CNOT(4->1)	1
crlqas/Rotosolve	0.85	1	1	33	33	0.8544511465693461	CNOT(0->2)	1
crlqas/Rotosolve	0.88	1	1	25	25	0.8764815964692474	CNOT(4->3)	1
crlqas/Rotosolve	1.00	1	1	24	24	0.9999876909017047	CNOT(3->2)	1
crlqas/Rotosolve	1.19	1	1	21	21	1.1862123251002998	RY(q=1)	1
crlqas/Rotosolve	1.30	1	1	31	31	1.2951151449875908	RY(q=0)	1
crlqas/Rotosolve	1.31	15	15	19.466666666666665	19.466666666666665	1.3067359064192392	CNOT(5->4)	3
crlqas/Rotosolve	1.38	1	1	46	46	1.3780199050721365	CNOT(5->4)	1
crlqas/Rotosolve	1.41	19	19	21.94736842105263	21.94736842105263	1.412680004256697	CNOT(5->3)	3
crlqas/Rotosolve	1.48	1	1	34	34	1.4828491121274823	CNOT(4->2)	1
crlqas/Rotosolve	failure	2762	0		21.70528602461984	520.2812177983873	RX(q=4)	80
hyrlqas/COBYLA	0.27	2	2	18.5	18.5	0.2723899377432559	CNOT(4->2)	1
hyrlqas/COBYLA	0.28	2	2	23	23	0.2762046350088809	CNOT(4->0)	1
hyrlqas/COBYLA	0.29	1	1	19	19	0.28812556396395905	RX(q=2)	1
hyrlqas/COBYLA	0.31	1	1	17	17	0.31292109619052155	RY(q=4)	1
hyrlqas/COBYLA	0.32	1	1	9	9	0.3215041650381778	CNOT(5->4)	1
hyrlqas/COBYLA	0.33	1	1	19	19	0.32627253662020905	RX(q=5)	1
hyrlqas/COBYLA	0.38	1	1	28	28	0.3787246240225528	RX(q=1)	1
hyrlqas/COBYLA	0.40	1	1	11	11	0.40065913329989655	RY(q=0)	1
hyrlqas/COBYLA	0.43	1	1	27	27	0.43499140869052155	RX(q=5)	1
hyrlqas/COBYLA	0.44	1	1	33	33	0.44452815185458405	RY(q=1)	1
hyrlqas/COBYLA	0.45	1	1	25	25	0.4531112207022403	CNOT(0->2)	1
hyrlqas/COBYLA	0.46	1	1	28	28	0.4645553124991153	CNOT(5->4)	1
hyrlqas/COBYLA	0.55	46869	46869	2.6192792677462715	2.6192792677462715	0.5542005761553633	RY(q=4)	20385
hyrlqas/COBYLA	0.56	533	533	17.77861163227017	17.77861163227017	0.5577863705303799	RY(q=4)	68
hyrlqas/COBYLA	0.57	149	149	19.221476510067113	19.221476510067113	0.5694210843111959	RY(q=5)	19
hyrlqas/COBYLA	0.58	78	78	21.153846153846153	21.153846153846153	0.5793752548756678	RX(q=5)	9
hyrlqas/COBYLA	0.59	49	49	20.775510204081634	20.775510204081634	0.5897980518067524	CNOT(5->4)	7
