fidelity_row_index	label	episode	snapshot_index	cluster	fidelity_error_mha	fidelity_gates	fidelity_rot	fidelity_optimizer	fidelity_params	episode_key	run_dir	event_step	event_error_mha	baseline_error_mha	retained_error_mha	delta_error_mha	allowed_error_mha	original_gate_count	fixed_gate_count	effective_max_prune_steps	retained_gate_count	removed_gate_count	redundancy_ratio_pct	resolved_optimizer	last_action	retained_gates	retained_gates_with_angles	retained_signature
10	ep9195_s0	9195	0	1	0.0	4	3	rotosolve	sweeps=2	crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep9195__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	13	0.000623	0.000000	0.000000	0.000000	0.050000	13	3	10	4	9	69.23	rotosolve	RZ(q=0)	RY(q=1) | RY(q=5) | RX(q=7) | CNOT(1->5)	RY(q=1,θ=+0.180) | RY(q=5,θ=-3.142) | RX(q=7,θ=+3.142) | CNOT(1->5)	"[""RY(q=1)"", ""RY(q=5)"", ""RX(q=7)"", ""CNOT(1->5)""]"
11	ep19633_s0	19633	0	1	0.0	4	3	rotosolve	sweeps=2	crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep19633__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	6	0.000623	0.000000	0.000000	0.000000	0.050000	6	1	5	4	2	33.33	rotosolve	CNOT(1->5)	RY(q=1) | RY(q=5) | RY(q=7) | CNOT(1->5)	RY(q=1,θ=+0.180) | RY(q=5,θ=-3.142) | RY(q=7,θ=+3.142) | CNOT(1->5)	"[""RY(q=1)"", ""RY(q=5)"", ""RY(q=7)"", ""CNOT(1->5)""]"
12	ep13699_s0	13699	0	1	0.0	4	3	rotosolve	sweeps=2	crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep13699__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	6	0.000623	0.000000	0.000000	0.000000	0.050000	6	2	4	4	2	33.33	rotosolve	CNOT(1->5)	RY(q=1) | RY(q=5) | RX(q=7) | CNOT(1->5)	RY(q=1,θ=+0.180) | RY(q=5,θ=-3.142) | RX(q=7,θ=+3.142) | CNOT(1->5)	"[""RY(q=1)"", ""RY(q=5)"", ""RX(q=7)"", ""CNOT(1->5)""]"
13	ep11302_s0	11302	0	1	0.0	4	3	rotosolve	sweeps=2	crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep11302__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	7	0.000623	0.000000	0.000000	0.000000	0.050000	7	2	5	4	3	42.86	rotosolve	CNOT(1->5)	RY(q=1) | RY(q=5) | RX(q=7) | CNOT(1->5)	RY(q=1,θ=+0.180) | RY(q=5,θ=-3.142) | RX(q=7,θ=+3.142) | CNOT(1->5)	"[""RY(q=1)"", ""RY(q=5)"", ""RX(q=7)"", ""CNOT(1->5)""]"
14	ep16549_s0	16549	0	1	0.0	4	3	rotosolve	sweeps=2	crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep16549__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	8	0.000623	0.000000	0.000000	0.000000	0.050000	8	1	7	4	4	50.00	rotosolve	CNOT(1->5)	RY(q=1) | RY(q=5) | RY(q=7) | CNOT(1->5)	RY(q=1,θ=+0.180) | RY(q=5,θ=-3.142) | RY(q=7,θ=+3.142) | CNOT(1->5)	"[""RY(q=1)"", ""RY(q=5)"", ""RY(q=7)"", ""CNOT(1->5)""]"
15	ep12759_s0	12759	0	1	0.0	4	3	rotosolve	sweeps=2	crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep12759__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	4	0.000623	0.000000	0.000000	0.000000	0.050000	4	1	3	4	0	0.00	rotosolve	CNOT(1->5)	RX(q=5) | RY(q=7) | RY(q=1) | CNOT(1->5)	RX(q=5,θ=-3.142) | RY(q=7,θ=+3.142) | RY(q=1,θ=+0.180) | CNOT(1->5)	"[""RX(q=5)"", ""RY(q=7)"", ""RY(q=1)"", ""CNOT(1->5)""]"
16	ep10182_s0	10182	0	1	0.0	4	3	rotosolve	sweeps=2	crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep10182__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	7	0.000623	0.000000	0.000000	0.000000	0.050000	7	2	5	4	3	42.86	rotosolve	CNOT(1->5)	RY(q=1) | RX(q=7) | RY(q=5) | CNOT(1->5)	RY(q=1,θ=+0.180) | RX(q=7,θ=+3.142) | RY(q=5,θ=-3.142) | CNOT(1->5)	"[""RY(q=1)"", ""RX(q=7)"", ""RY(q=5)"", ""CNOT(1->5)""]"
17	ep13909_s0	13909	0	1	0.0	4	3	rotosolve	sweeps=2	crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep13909__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	5	0.000623	0.000000	0.000000	0.000000	0.050000	5	2	3	4	1	20.00	rotosolve	CNOT(1->5)	RY(q=1) | RY(q=5) | RX(q=7) | CNOT(1->5)	RY(q=1,θ=+0.180) | RY(q=5,θ=-3.142) | RX(q=7,θ=+3.142) | CNOT(1->5)	"[""RY(q=1)"", ""RY(q=5)"", ""RX(q=7)"", ""CNOT(1->5)""]"
18	ep10882_s0	10882	0	0	0.0	4	3	rotosolve	sweeps=2	crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep10882__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	9	0.000623	0.000000	0.000000	0.000000	0.050000	9	2	7	4	5	55.56	rotosolve	CNOT(0->4)	RX(q=4) | RX(q=6) | RY(q=0) | CNOT(0->4)	RX(q=4,θ=-3.142) | RX(q=6,θ=+3.142) | RY(q=0,θ=+0.180) | CNOT(0->4)	"[""RX(q=4)"", ""RX(q=6)"", ""RY(q=0)"", ""CNOT(0->4)""]"
19	ep19802_s0	19802	0	1	0.0	4	3	rotosolve	sweeps=2	crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep19802__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	6	0.000623	0.000000	0.000000	0.000000	0.050000	6	2	4	4	2	33.33	rotosolve	CNOT(1->5)	RY(q=1) | RY(q=5) | RX(q=7) | CNOT(1->5)	RY(q=1,θ=+0.180) | RY(q=5,θ=-3.142) | RX(q=7,θ=+3.142) | CNOT(1->5)	"[""RY(q=1)"", ""RY(q=5)"", ""RX(q=7)"", ""CNOT(1->5)""]"
20	ep11589_s0	11589	0	1	0.0	4	3	rotosolve	sweeps=2	crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep11589__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	6	0.000623	0.000000	0.000000	0.000000	0.050000	6	2	4	4	2	33.33	rotosolve	CNOT(1->5)	RY(q=1) | RY(q=5) | RX(q=7) | CNOT(1->5)	RY(q=1,θ=+0.180) | RY(q=5,θ=-3.142) | RX(q=7,θ=+3.142) | CNOT(1->5)	"[""RY(q=1)"", ""RY(q=5)"", ""RX(q=7)"", ""CNOT(1->5)""]"
21	ep18265_s0	18265	0	1	0.0	4	3	rotosolve	sweeps=2	crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep18265__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	6	0.000623	0.000000	0.000000	0.000000	0.050000	6	1	5	4	2	33.33	rotosolve	CNOT(1->5)	RY(q=1) | RY(q=7) | RY(q=5) | CNOT(1->5)	RY(q=1,θ=+0.180) | RY(q=7,θ=+3.142) | RY(q=5,θ=-3.142) | CNOT(1->5)	"[""RY(q=1)"", ""RY(q=7)"", ""RY(q=5)"", ""CNOT(1->5)""]"
22	ep9823_s0	9823	0	1	0.0	4	3	rotosolve	sweeps=2	crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep9823__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	4	0.000623	0.000000	0.000000	0.000000	0.050000	4	2	2	4	0	0.00	rotosolve	CNOT(1->5)	RX(q=7) | RY(q=1) | RY(q=5) | CNOT(1->5)	RX(q=7,θ=-3.142) | RY(q=1,θ=+0.180) | RY(q=5,θ=-3.142) | CNOT(1->5)	"[""RX(q=7)"", ""RY(q=1)"", ""RY(q=5)"", ""CNOT(1->5)""]"
23	ep18124_s0	18124	0	1	0.0	4	3	rotosolve	sweeps=2	crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep18124__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	5	0.000623	0.000000	0.000000	0.000000	0.050000	5	1	4	4	1	20.00	rotosolve	CNOT(1->5)	RY(q=7) | RY(q=1) | RY(q=5) | CNOT(1->5)	RY(q=7,θ=+3.142) | RY(q=1,θ=+0.180) | RY(q=5,θ=-3.142) | CNOT(1->5)	"[""RY(q=7)"", ""RY(q=1)"", ""RY(q=5)"", ""CNOT(1->5)""]"
24	ep15363_s0	15363	0	1	0.0	4	3	rotosolve	sweeps=2	crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep15363__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	10	0.000623	0.000000	0.000000	0.000000	0.050000	10	1	9	4	6	60.00	rotosolve	CNOT(1->5)	RY(q=7) | RY(q=5) | RY(q=1) | CNOT(1->5)	RY(q=7,θ=+3.142) | RY(q=5,θ=-3.142) | RY(q=1,θ=+0.180) | CNOT(1->5)	"[""RY(q=7)"", ""RY(q=5)"", ""RY(q=1)"", ""CNOT(1->5)""]"
25	ep17524_s0	17524	0	1	0.0	4	3	rotosolve	sweeps=2	crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep17524__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	6	0.000623	0.000000	0.000000	0.000000	0.050000	6	1	5	4	2	33.33	rotosolve	CNOT(1->5)	RY(q=7) | RY(q=1) | RY(q=5) | CNOT(1->5)	RY(q=7,θ=+3.142) | RY(q=1,θ=+0.180) | RY(q=5,θ=-3.142) | CNOT(1->5)	"[""RY(q=7)"", ""RY(q=1)"", ""RY(q=5)"", ""CNOT(1->5)""]"
26	ep12216_s0	12216	0	1	0.0	4	3	rotosolve	sweeps=2	crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep12216__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	6	0.000623	0.000000	0.000000	0.000000	0.050000	6	2	4	4	2	33.33	rotosolve	CNOT(1->5)	RY(q=1) | RY(q=5) | RX(q=7) | CNOT(1->5)	RY(q=1,θ=+0.180) | RY(q=5,θ=-3.142) | RX(q=7,θ=+3.142) | CNOT(1->5)	"[""RY(q=1)"", ""RY(q=5)"", ""RX(q=7)"", ""CNOT(1->5)""]"
27	ep17357_s0	17357	0	1	0.0	4	3	rotosolve	sweeps=2	crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep17357__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	9	0.000623	0.000000	0.000000	0.000000	0.050000	9	0	9	4	5	55.56	rotosolve	CNOT(4->1)	RY(q=5) | RY(q=1) | RY(q=7) | CNOT(5->1)	RY(q=5,θ=+2.961) | RY(q=1,θ=+3.142) | RY(q=7,θ=+3.142) | CNOT(5->1)	"[""RY(q=5)"", ""RY(q=1)"", ""RY(q=7)"", ""CNOT(5->1)""]"
28	ep7374_s0	7374	0	1	0.0	4	3	rotosolve	sweeps=2	crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep7374__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	9	0.000623	0.000000	0.000000	0.000000	0.050000	9	2	7	4	5	55.56	rotosolve	CNOT(7->0)	RY(q=5) | RY(q=1) | CNOT(1->5) | RX(q=7)	RY(q=5,θ=-3.142) | RY(q=1,θ=+0.180) | CNOT(1->5) | RX(q=7,θ=+3.142)	"[""RY(q=5)"", ""RY(q=1)"", ""CNOT(1->5)"", ""RX(q=7)""]"
29	ep7751_s0	7751	0	1	0.0	4	3	rotosolve	sweeps=2	crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep7751__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	6	0.000623	0.000000	0.000000	0.000000	0.050000	6	2	4	4	2	33.33	rotosolve	CNOT(1->5)	RY(q=1) | RY(q=5) | RX(q=7) | CNOT(1->5)	RY(q=1,θ=+0.180) | RY(q=5,θ=-3.142) | RX(q=7,θ=+3.142) | CNOT(1->5)	"[""RY(q=1)"", ""RY(q=5)"", ""RX(q=7)"", ""CNOT(1->5)""]"
30	ep19516_s0	19516	0	1	0.0	4	3	rotosolve	sweeps=2	crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep19516__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	5	0.000623	0.000000	0.000000	0.000000	0.050000	5	2	3	4	1	20.00	rotosolve	CNOT(1->5)	RY(q=1) | RX(q=7) | RY(q=5) | CNOT(1->5)	RY(q=1,θ=+0.180) | RX(q=7,θ=+3.142) | RY(q=5,θ=-3.142) | CNOT(1->5)	"[""RY(q=1)"", ""RX(q=7)"", ""RY(q=5)"", ""CNOT(1->5)""]"
31	ep8596_s0	8596	0	1	0.0	4	3	rotosolve	sweeps=2	crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep8596__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	6	0.000623	0.000000	0.000000	0.000000	0.050000	6	2	4	4	2	33.33	rotosolve	CNOT(1->5)	RY(q=1) | RY(q=5) | RX(q=7) | CNOT(1->5)	RY(q=1,θ=+0.180) | RY(q=5,θ=-3.142) | RX(q=7,θ=+3.142) | CNOT(1->5)	"[""RY(q=1)"", ""RY(q=5)"", ""RX(q=7)"", ""CNOT(1->5)""]"
32	ep16735_s0	16735	0	1	0.0	4	3	rotosolve	sweeps=2	crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep16735__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	7	0.000623	0.000000	0.000000	0.000000	0.050000	7	1	6	4	3	42.86	rotosolve	CNOT(1->5)	RY(q=5) | RY(q=1) | RY(q=7) | CNOT(1->5)	RY(q=5,θ=-3.142) | RY(q=1,θ=+0.180) | RY(q=7,θ=+3.142) | CNOT(1->5)	"[""RY(q=5)"", ""RY(q=1)"", ""RY(q=7)"", ""CNOT(1->5)""]"
33	ep18010_s0	18010	0	1	0.0	4	3	rotosolve	sweeps=2	crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep18010__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	6	0.000623	0.000000	0.000000	0.000000	0.050000	6	2	4	4	2	33.33	rotosolve	CNOT(1->5)	RY(q=1) | RY(q=5) | RX(q=7) | CNOT(1->5)	RY(q=1,θ=+0.180) | RY(q=5,θ=-3.142) | RX(q=7,θ=+3.142) | CNOT(1->5)	"[""RY(q=1)"", ""RY(q=5)"", ""RX(q=7)"", ""CNOT(1->5)""]"
34	ep14570_s0	14570	0	0	0.0	4	3	rotosolve	sweeps=2	crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep14570__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	5	0.000623	0.000000	0.000000	0.000000	0.050000	5	1	4	4	1	20.00	rotosolve	CNOT(0->4)	RX(q=6) | RY(q=0) | RY(q=4) | CNOT(0->4)	RX(q=6,θ=+3.142) | RY(q=0,θ=+0.180) | RY(q=4,θ=-3.142) | CNOT(0->4)	"[""RX(q=6)"", ""RY(q=0)"", ""RY(q=4)"", ""CNOT(0->4)""]"
