episode	snapshot_index	label	cluster	total_seen	cum_cluster0	cum_cluster1	frac_cluster0	frac_cluster1
14467	0	ep14467_s0	1	54	10	44	0.18518518518518517	0.8148148148148148
14541	0	ep14541_s0	0	55	11	44	0.2	0.8
14570	0	ep14570_s0	0	56	12	44	0.21428571428571427	0.7857142857142857
14648	0	ep14648_s0	1	57	12	45	0.21052631578947367	0.7894736842105263
14687	0	ep14687_s0	0	58	13	45	0.22413793103448276	0.7758620689655172
15100	0	ep15100_s0	0	59	14	45	0.23728813559322035	0.7627118644067796
15155	0	ep15155_s0	1	60	14	46	0.23333333333333334	0.7666666666666667
15363	0	ep15363_s0	1	61	14	47	0.22950819672131148	0.7704918032786885
15635	0	ep15635_s0	1	62	14	48	0.22580645161290322	0.7741935483870968
15771	0	ep15771_s0	0	63	15	48	0.23809523809523808	0.7619047619047619
15799	0	ep15799_s0	1	64	15	49	0.234375	0.765625
15828	0	ep15828_s0	1	65	15	50	0.23076923076923078	0.7692307692307693
15881	0	ep15881_s0	1	66	15	51	0.22727272727272727	0.7727272727272727
15909	0	ep15909_s0	1	67	15	52	0.22388059701492538	0.7761194029850746
15997	0	ep15997_s0	1	68	15	53	0.22058823529411764	0.7794117647058824
16051	0	ep16051_s0	0	69	16	53	0.2318840579710145	0.7681159420289855
16349	0	ep16349_s0	1	70	16	54	0.22857142857142856	0.7714285714285715
16549	0	ep16549_s0	1	71	16	55	0.22535211267605634	0.7746478873239436
16597	0	ep16597_s0	1	72	16	56	0.2222222222222222	0.7777777777777778
16699	0	ep16699_s0	1	73	16	57	0.2191780821917808	0.7808219178082192
16735	0	ep16735_s0	1	74	16	58	0.21621621621621623	0.7837837837837838
16972	0	ep16972_s0	0	75	17	58	0.22666666666666666	0.7733333333333333
16998	0	ep16998_s0	1	76	17	59	0.2236842105263158	0.7763157894736842
17062	0	ep17062_s0	1	77	17	60	0.22077922077922077	0.7792207792207793
17195	0	ep17195_s0	1	78	17	61	0.21794871794871795	0.782051282051282
17357	0	ep17357_s0	1	79	17	62	0.21518987341772153	0.7848101265822784
17468	0	ep17468_s0	1	80	17	63	0.2125	0.7875
17524	0	ep17524_s0	1	81	17	64	0.20987654320987653	0.7901234567901234
17692	0	ep17692_s0	1	82	17	65	0.2073170731707317	0.7926829268292683
17891	0	ep17891_s0	1	83	17	66	0.20481927710843373	0.7951807228915663
18010	0	ep18010_s0	1	84	17	67	0.20238095238095238	0.7976190476190477
18029	0	ep18029_s0	1	85	17	68	0.2	0.8
18124	0	ep18124_s0	1	86	17	69	0.19767441860465115	0.8023255813953488
18265	0	ep18265_s0	1	87	17	70	0.19540229885057472	0.8045977011494253
18342	0	ep18342_s0	1	88	17	71	0.19318181818181818	0.8068181818181818
18355	0	ep18355_s0	1	89	17	72	0.19101123595505617	0.8089887640449438
18556	0	ep18556_s0	1	90	17	73	0.18888888888888888	0.8111111111111111
18630	0	ep18630_s0	1	91	17	74	0.18681318681318682	0.8131868131868132
18776	0	ep18776_s0	1	92	17	75	0.18478260869565216	0.8152173913043478
19064	0	ep19064_s0	1	93	17	76	0.1827956989247312	0.8172043010752689
19196	0	ep19196_s0	1	94	17	77	0.18085106382978725	0.8191489361702128
19498	0	ep19498_s0	1	95	17	78	0.17894736842105263	0.8210526315789474
19516	0	ep19516_s0	1	96	17	79	0.17708333333333334	0.8229166666666666
19633	0	ep19633_s0	1	97	17	80	0.17525773195876287	0.8247422680412371
19802	0	ep19802_s0	1	98	17	81	0.17346938775510204	0.826530612244898
19832	0	ep19832_s0	1	99	17	82	0.1717171717171717	0.8282828282828283
19889	0	ep19889_s0	1	100	17	83	0.17	0.83
